Bestandsnaam,Score,Redenen,Grootte,Pad
Trading Traps assessment V2 2017-09-08.pdf,4,Zeer oud (2807 dagen) | Backup/temp patroon,198.24 KB,/
Screenshot_20181026-000732_WhatsApp.jpg,4,Zeer oud (2395 dagen) | Backup/temp patroon,25.22 KB,/onbekend/Google Photo's
IMG_20140712_200359.jpg,4,Zeer oud (3797 dagen) | Backup/temp patroon,1.58 MB,/onbekend/Google Photo's
20140101_142607 (1).jpg,4,Zeer oud (3797 dagen) | Backup/temp patroon,1.88 MB,/onbekend/Google Photo's
IMG_7558304568172.jpeg,4,Zeer oud (3867 dagen) | Backup/temp patroon,77.84 KB,/onbekend/Google Photo's
IMG-20140622-WA0002-SMILE (1).jpg,4,Zeer oud (3797 dagen) | Backup/temp patroon,83.11 KB,/onbekend/Google Photo's
cache_vts_com.aws.android_default.0,4,Zeer oud (1703 dagen) | Backup/temp patroon,280.42 KB,/onbekend/internal card 2/Android/data/com.aws.android/cache
cache_vts_com.aws.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.aws.android/cache
map_cache.db-wal,4,Zeer oud (1703 dagen) | Backup/temp patroon,0 B,/onbekend/internal card 2/Android/data/com.google.android.apps.maps/cache/diskcache
map_cache.db-shm,4,Zeer oud (1703 dagen) | Backup/temp patroon,32.00 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.maps/cache/diskcache
map_cache.db,4,Zeer oud (1702 dagen) | Backup/temp patroon,57.59 MB,/onbekend/internal card 2/Android/data/com.google.android.apps.maps/cache/diskcache
Screenshot_20200917-213250_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.18 MB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200917-212903_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,512.42 KB,/onbekend/internal card 2/DCIM/Screenshots
2020-09-17_17-52-34.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,16.41 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
cache_r.0,4,Zeer oud (1703 dagen) | Backup/temp patroon,51.04 KB,/onbekend/internal card 2/Android/data/com.aws.android/cache
cache_vts_inaka_com.aws.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.aws.android/cache
cache_its.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.aws.android/cache
cache_its_ter.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.aws.android/cache
cache_vts_no_pois_com.aws.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.aws.android/cache
cache_r.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,32.00 KB,/onbekend/internal card 2/Android/data/com.aws.android/cache
cache_vts_labl_com.aws.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.aws.android/cache
cache_bd.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,26.00 KB,/onbekend/internal card 2/Android/data/com.aws.android/cache
chatsettingsbackup.db.crypt1,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.17 KB,/onbekend/internal card 2/WhatsApp/Backups
cached_content_index.exi,4,Zeer oud (1702 dagen) | Backup/temp patroon,153.91 KB,/onbekend/internal card 2/Android/data/com.google.android.youtube/cache/exo
2020-09-16_21-26-56.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,14.90 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
Screenshot_20200916-200922_Brave.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,487.02 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200916-192615_Maps.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,581.11 KB,/onbekend/internal card 2/DCIM/Screenshots
cache_vts_inaka_com.whatsapp_default.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_vts_inaka_com.whatsapp_default.0,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.10 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_vts_com.whatsapp_default.0,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.62 MB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_vts_com.whatsapp_default.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_bd.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_bd.0,4,Zeer oud (1702 dagen) | Backup/temp patroon,2.45 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_r.0,4,Zeer oud (1702 dagen) | Backup/temp patroon,30.96 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_r.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,32.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_vts_labl_com.whatsapp_default.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_vts_no_pois_com.whatsapp_default.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_its_ter.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_its.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
Screenshot_20200916-184213_Brave.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,287.52 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200916-134019_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,977.59 KB,/onbekend/internal card 2/DCIM/Screenshots
2020-09-15_22-01-27.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,14.16 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
Screenshot_20200915-194328_Camera.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,572.03 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200915-165934_Outlook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,878.09 KB,/onbekend/internal card 2/DCIM/Screenshots
cache_vts_com.google.android.apps.photos_default.0,4,Zeer oud (1714 dagen) | Backup/temp patroon,1.30 MB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_vts_com.google.android.apps.photos_default.m,4,Zeer oud (1714 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_bd.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,26.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_r.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,20.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_vts_labl_com.booking_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_vts_com.booking_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_its.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_its_ter.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_vts_inaka_com.booking_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_vts_no_pois_com.booking_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
2020-09-15_09-36-56.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,13.88 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
2020-09-15_01-50-02.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,14.97 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
Screenshot_20200915-000812_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,993.10 KB,/onbekend/internal card 2/DCIM/Screenshots
2020-09-14_23-48-40.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,14.72 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
Screenshot_20200914-170342_17TRACK.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,331.58 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200914-152621_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,268.36 KB,/onbekend/internal card 2/DCIM/Screenshots
2020-09-14_12-37-09.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,14.27 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
Screenshot_20200914-090714_Nova Launcher.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.23 MB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200913-180513_Device care.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,306.83 KB,/onbekend/internal card 2/DCIM/Screenshots
tempFileForShare_20200913-095814.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.06 MB,/onbekend/internal card 2/Android/data/com.samsung.android.app.smartcapture/files/Pictures
Screenshot_20200913-095806_Photos.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.08 MB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200913-094600_Photos.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,763.45 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200913-085157_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,484.79 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200913-085134_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,913.82 KB,/onbekend/internal card 2/DCIM/Screenshots
cache_vts_com.airbnb.android_5a401ae9689a0c4.0,4,Zeer oud (1703 dagen) | Backup/temp patroon,1.56 MB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_com.airbnb.android_5a401ae9689a0c4.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_bd.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,26.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_its_ter.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_com.airbnb.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_r.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,32.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_labl_com.airbnb.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_inaka_com.airbnb.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_its.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_no_pois_com.airbnb.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
Screenshot_20200912-154136_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,587.39 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200912-154051_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,854.70 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200912-150239_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,423.48 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200912-105216_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,664.28 KB,/onbekend/internal card 2/DCIM/Screenshots
